epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1117.12,1.4123,1.00547,1.14554,0.84079,0.5855,0.63876,0.39531,1.5014,2.00427,1.45795,0.000990365,0.000990365,0.000990365
43,1143.75,1.39101,0.97253,1.11779,0.83606,0.61134,0.68149,0.43339,1.40477,1.85454,1.40263,0.000973861,0.000973861,0.000973861
44,1170.93,1.36837,1.00102,1.12545,0.83308,0.6177,0.67669,0.41455,1.5167,1.85963,1.4662,0.000957358,0.000957358,0.000957358
45,1197.51,1.37544,0.99391,1.11318,0.79413,0.61908,0.66886,0.4125,1.52014,1.98215,1.48251,0.000940855,0.000940855,0.000940855
46,1224.18,1.35605,0.93566,1.10015,0.79472,0.62538,0.68165,0.42477,1.49285,1.91789,1.47914,0.000924352,0.000924352,0.000924352
47,1251.07,1.354,0.92833,1.10097,0.83198,0.62728,0.67955,0.43439,1.43281,1.88198,1.42275,0.000907848,0.000907848,0.000907848
48,1278.25,1.33792,0.92664,1.08622,0.80468,0.6328,0.68443,0.41901,1.44732,1.99332,1.43176,0.000891345,0.000891345,0.000891345
49,1304.57,1.34932,0.94714,1.1013,0.80221,0.63762,0.67586,0.42942,1.41863,1.86632,1.4329,0.000874842,0.000874842,0.000874842
50,1331.91,1.35876,0.94314,1.08327,0.82066,0.63512,0.68601,0.43025,1.42964,1.91742,1.46856,0.000858338,0.000858338,0.000858338
51,1358.82,1.35841,0.91552,1.10761,0.76948,0.64235,0.66213,0.41786,1.46881,1.80979,1.48681,0.000841835,0.000841835,0.000841835
52,1385.79,1.33254,0.927,1.09542,0.80213,0.6423,0.68311,0.43081,1.43011,1.77974,1.41842,0.000825332,0.000825332,0.000825332
53,1412.69,1.32171,0.90552,1.09048,0.78879,0.63336,0.681,0.42096,1.49399,2.03632,1.44107,0.000808828,0.000808828,0.000808828
54,1439.63,1.28435,0.87772,1.06913,0.81064,0.67995,0.71094,0.46417,1.36274,1.78916,1.41229,0.000792325,0.000792325,0.000792325
55,1466.14,1.30625,0.88626,1.08492,0.82597,0.632,0.68471,0.43347,1.40932,1.91098,1.46622,0.000775822,0.000775822,0.000775822
56,1491.57,1.30678,0.89386,1.06754,0.80659,0.65085,0.69094,0.44176,1.34457,1.96489,1.40638,0.000759318,0.000759318,0.000759318
57,1518.39,1.28975,0.86489,1.06534,0.83343,0.6482,0.69096,0.45069,1.34298,1.90013,1.41077,0.000742815,0.000742815,0.000742815
58,1545.22,1.30139,0.87592,1.06228,0.83962,0.6182,0.69183,0.44421,1.3175,1.95683,1.38942,0.000726312,0.000726312,0.000726312
59,1572.05,1.27871,0.8571,1.05463,0.87058,0.63272,0.69557,0.45171,1.31613,1.93225,1.41368,0.000709809,0.000709809,0.000709809
60,1599.19,1.28313,0.85662,1.063,0.8566,0.62591,0.6978,0.45309,1.39359,1.97556,1.458,0.000693305,0.000693305,0.000693305
