epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,727.373,1.33499,0.91042,1.07277,0.82609,0.72688,0.78732,0.48592,1.24453,0.8798,1.12879,0.000990365,0.000990365,0.000990365
43,744.204,1.35611,0.9311,1.07744,0.83444,0.76688,0.82662,0.50656,1.22653,0.84058,1.12541,0.000973861,0.000973861,0.000973861
44,761.349,1.33195,0.9018,1.06342,0.90323,0.71151,0.8203,0.51733,1.21836,0.8609,1.10214,0.000957358,0.000957358,0.000957358
45,778.476,1.32222,0.90708,1.06916,0.86838,0.74511,0.81206,0.49929,1.30363,0.85785,1.12358,0.000940855,0.000940855,0.000940855
46,795.5,1.34498,0.91825,1.07422,0.8657,0.73585,0.81604,0.49783,1.22482,0.85061,1.09565,0.000924352,0.000924352,0.000924352
47,812.921,1.29624,0.87251,1.05851,0.82752,0.77478,0.83174,0.5288,1.1795,0.80385,1.0761,0.000907848,0.000907848,0.000907848
48,829.977,1.31235,0.89798,1.04827,0.87172,0.70072,0.81085,0.49422,1.22463,0.86329,1.10261,0.000891345,0.000891345,0.000891345
49,847.065,1.29117,0.85923,1.05717,0.84607,0.78234,0.83772,0.53126,1.19869,0.80338,1.10347,0.000874842,0.000874842,0.000874842
50,864.342,1.29352,0.86365,1.04757,0.85966,0.71157,0.78253,0.50483,1.16769,0.8556,1.10049,0.000858338,0.000858338,0.000858338
51,881.464,1.27481,0.85317,1.04124,0.84185,0.76641,0.80947,0.5076,1.19734,0.82714,1.10829,0.000841835,0.000841835,0.000841835
52,898.923,1.26637,0.85754,1.04357,0.89019,0.72088,0.83092,0.5079,1.20779,0.83221,1.10646,0.000825332,0.000825332,0.000825332
53,915.799,1.25845,0.84283,1.03562,0.84225,0.76116,0.81766,0.51163,1.1738,0.82393,1.08995,0.000808828,0.000808828,0.000808828
54,933.094,1.28756,0.85308,1.04964,0.87802,0.72056,0.79508,0.50991,1.24024,0.83446,1.09837,0.000792325,0.000792325,0.000792325
55,950.207,1.26869,0.8392,1.03546,0.87968,0.72458,0.82048,0.50274,1.22535,0.80451,1.11643,0.000775822,0.000775822,0.000775822
56,967.451,1.24454,0.81779,1.03526,0.84703,0.75855,0.80714,0.51786,1.24679,0.79118,1.11456,0.000759318,0.000759318,0.000759318
57,984.275,1.26781,0.83681,1.03659,0.85334,0.7394,0.81516,0.53571,1.17968,0.81269,1.11173,0.000742815,0.000742815,0.000742815
58,1001.38,1.23846,0.81088,1.03879,0.88119,0.74525,0.82279,0.51671,1.19956,0.78058,1.09371,0.000726312,0.000726312,0.000726312
59,1017.44,1.24203,0.80865,1.0288,0.86888,0.76138,0.82943,0.53818,1.18912,0.79427,1.07066,0.000709809,0.000709809,0.000709809
60,1033.82,1.19963,0.77704,1.01821,0.87699,0.79101,0.8549,0.55735,1.15359,0.75857,1.08694,0.000693305,0.000693305,0.000693305
61,1050.72,1.18763,0.77229,1.01015,0.90603,0.74642,0.84229,0.5392,1.20963,0.7995,1.08056,0.000676802,0.000676802,0.000676802
62,1067.95,1.20416,0.78022,1.01574,0.86481,0.73585,0.82917,0.52699,1.18571,0.79789,1.08813,0.000660299,0.000660299,0.000660299
63,1085.47,1.19659,0.78639,1.01326,0.8972,0.77475,0.84872,0.54875,1.15454,0.75928,1.05737,0.000643795,0.000643795,0.000643795
64,1103.32,1.22813,0.79338,1.01786,0.87848,0.74989,0.84058,0.54174,1.22728,0.80435,1.10549,0.000627292,0.000627292,0.000627292
65,1119.62,1.15991,0.75186,1.00177,0.91842,0.79022,0.86185,0.54901,1.19353,0.778,1.09457,0.000610789,0.000610789,0.000610789
66,1137.31,1.18393,0.76884,1.00187,0.88035,0.79552,0.85587,0.54623,1.20223,0.72499,1.10092,0.000594286,0.000594286,0.000594286
67,1155.04,1.17581,0.7545,1.00157,0.89693,0.76575,0.8334,0.53738,1.17503,0.78447,1.06788,0.000577782,0.000577782,0.000577782
68,1172.58,1.16008,0.74258,1.00075,0.89928,0.79744,0.85681,0.55283,1.14492,0.70284,1.08697,0.000561279,0.000561279,0.000561279
69,1190.02,1.16886,0.75524,1.00451,0.88598,0.76542,0.83938,0.55269,1.14247,0.75055,1.09445,0.000544776,0.000544776,0.000544776
70,1207.21,1.16705,0.75311,0.99466,0.90949,0.76872,0.83968,0.53936,1.19095,0.74302,1.09364,0.000528272,0.000528272,0.000528272
71,1224.51,1.16286,0.73335,1.00536,0.90278,0.74708,0.82233,0.53828,1.15438,0.75695,1.06367,0.000511769,0.000511769,0.000511769
72,1241.3,1.14424,0.72695,0.99346,0.88883,0.78879,0.86117,0.56655,1.14144,0.67328,1.07769,0.000495266,0.000495266,0.000495266
73,1258.44,1.14335,0.71812,0.98785,0.90229,0.78938,0.86442,0.56642,1.12311,0.70832,1.05616,0.000478762,0.000478762,0.000478762
74,1275.61,1.15051,0.72409,0.99136,0.93272,0.77151,0.84631,0.56874,1.10629,0.68509,1.04479,0.000462259,0.000462259,0.000462259
75,1292.59,1.14685,0.72131,0.98931,0.91347,0.77217,0.85303,0.55625,1.11603,0.73526,1.05821,0.000445756,0.000445756,0.000445756
76,1310.4,1.11674,0.71288,0.99168,0.89798,0.77843,0.84932,0.57062,1.11213,0.71109,1.07292,0.000429253,0.000429253,0.000429253
77,1327.45,1.09268,0.69818,0.97062,0.88955,0.78593,0.84149,0.56318,1.09313,0.72305,1.05564,0.000412749,0.000412749,0.000412749
78,1343.48,1.11837,0.70008,0.97626,0.87328,0.79715,0.84625,0.56908,1.09943,0.72348,1.0619,0.000396246,0.000396246,0.000396246
79,1360.68,1.10591,0.69109,0.98595,0.91687,0.79861,0.87651,0.58458,1.07307,0.72307,1.0434,0.000379743,0.000379743,0.000379743
